district,before,after,change
أحد,1600.0,2300.5751437859467,43.78594648662167
أم الحمام الغربي,4200.0,5300.0,26.190476190476193
إشبيلية,3952.829567165162,4501.8,13.888037000000011
الازدهار,8757.666391351257,7428.39926050685,-15.178325725642408
الاندلس,4690.5034221902015,4245.563386261357,-9.485976149679106
البديعة,2200.0,2500.0,13.636363636363635
البيان,2912.12242334266,2413.973921853465,-17.106028836431904
الجرادية,2075.657926687475,2212.7673943507402,6.605590733444069
الجزيرة,3099.1735537190084,3099.1735537190084,0.0
الجنادرية,1650.0017988147242,1433.302880651861,-13.133253449694937
الحائر,641.025641025641,719.959311670524,12.313652620601752
الحزم,2777.777777777778,3642.0574649651608,31.114068738745786
الحمراء,6582.216248947423,5280.946345585128,-19.769479672904758
الخالدية,2673.5617957849263,2672.921667030329,-0.023942919726280903
الخليج,4400.0,4500.0,2.272727272727273
الخير,1904.3809523809523,1612.9032258064517,-15.305641773515985
الدار البيضاء,2662.738655033709,2825.9582655024424,6.129764562518319
الدريهمية,3247.142948349614,3396.418310668454,4.597129374754211
الرابية,775.0,750.1523747011112,-3.2061451998566235
الربوة,4255.31914893617,4825.9010384850335,13.4086744043983
الربيع,6056.162998034513,8385.214446952596,38.45754233619472
الرفيعة,5183.661416486104,5691.558441558442,9.798036257866368
الرمال,3800.0,3800.0,0.0
الروابى,4666.666666666667,5286.2965306337655,13.277782799294968
الروضة,5106.295955882353,7475.708903430498,46.40179433427919
الريان,6775.369688804682,6298.046464926454,-7.0449768175297525
الزاهر,711.1111111111111,515.8730158730159,-27.455357142857135
الزهرة,2680.0,4060.1473549929433,51.498035634065054
السحاب,1300.0,1470.0,13.076923076923078
السعادة,3200.0,4607.172235368796,43.97413235527486
السلام,3421.726794071763,4773.637203572529,39.509595326049656
السلى,2666.6666666666665,2487.5621890547263,-6.716417910447757
السليمانية,8534.62157809984,8417.10496055355,-1.3769399904951989
السويدى,2557.7777777777783,3054.7619047619046,19.430309048032736
الشفاء,2000.0,2270.3842549203373,13.519212746016866
الشميسي,1899.21689606075,2535.211267605634,33.48719005522898
الصالحية,1939.655172413793,2525.7590954682228,30.216913366361712
الصحافة,9616.394053303531,10054.28956509624,4.553635274984162
الصفاء,3600.0,2950.0,-18.055555555555554
الضباط,5267.862844007406,6000.0,13.898181818181834
العارض,7284.988760303056,6000.0,-17.638857142857145
العريجاء,2200.0,2498.950881259742,13.588676420897357
العزيزية,2610.086547768748,2804.922186029678,7.464719452597718
العقيق,8006.736129942202,8891.378855786976,11.04873086221164
العليا,7008.620689655173,9779.466200814071,39.53481910140617
العود,1902.4716639679968,2328.830926874709,22.4108075290568
الغنامية,812.5,1000.0,23.076923076923077
الفاروق,2650.0,3900.0,47.16981132075472
الفيحاء,4608.611767240289,4985.675766767779,8.18172626750208
القادسية,3953.9922636064457,5381.165919282511,36.09449792838838
القدس,6771.745387123439,8157.696520311723,20.466675191652776
القيروان,7661.748013620885,6200.0,-19.078518518518518
المحمدية,9845.685720495543,9597.239445732464,-2.5234024507393493
المربع,4761.3847310264555,5447.41151304441,14.408135884244356
المرجان,2550.0,2600.0,1.9607843137254901
المرقب,3074.6701046274393,3320.1010465535905,7.9823504172617685
المروة,2270.348603172048,2968.8273132112813,30.765262614884087
المروج,9230.45546833123,9421.42288487819,2.068884002551649
المصفاة,962.6604434072345,1008.606777837547,4.77284952809428
المصيف,7828.602422708371,7050.0,-9.945612009237873
المعذر,8915.92347443979,9750.0,9.354908977755848
المعيزلية,3500.0,4446.2961879634095,27.0370339418117
المغرزات,8215.668610782923,10100.162274075316,22.9378003491892
الملز,3520.0,4494.08324650239,27.672819502908798
الملقا,9164.115966748555,9000.0,-1.7908543207445247
الملك فهد,5952.380952380952,7000.0,17.6
الملك فيصل,5246.074005123821,4733.546717515663,-9.769730413783233
المناخ,1274.6450873541175,1411.2190115269225,10.714662891480037
المنار,6216.70225811161,6349.944533995278,2.1432951161496043
المنصورة,2777.777777777778,2788.8888888888887,0.3999999999999909
المهدية,4000.0,4554.166666666666,13.85416666666665
المونسية,5718.954248366013,6013.482704402515,5.150040431266829
النخبة,525.4247183139704,471.228860149746,-10.31467616105555
النخيل,8845.273943350883,8354.90355197958,-5.543868901199174
الندوة,2200.0,4138.145314149595,88.09751427952705
الندى,8534.60972017673,8613.81662460091,0.9280670941159292
النرجس,6772.856230938364,8626.633306554264,27.370683983337162
النزهة,8600.0,7865.802065923865,-8.537185279955063
النسيم,2365.504724666015,2600.0,9.913118028842373
النظيم,1300.0,1666.6666666666667,28.20512820512821
النهضة,3700.0,4581.0852081848725,23.813113734726286
الوزارات,6451.612903225807,8000.0,23.999999999999993
الوسام,1500.0,2258.333333333333,50.55555555555553
الياسمين,7593.582887700534,7070.586681052195,-6.8873444114957385
اليرموك,5000.0,4610.384615384615,-7.792307692307696
اليمامة,2322.4687933425794,2177.858439201452,-6.226578998850582
ام سليم,2100.387763894873,1989.8121617319323,-5.264532771696107
بدر,1616.1616161616162,2951.1737656644227,82.60387675048617
ثليم,2976.785714285714,3047.3875025073735,2.371745735100731
جرير,7180.82710154068,4342.857142857143,-39.52149130668579
حطين,8707.543569520418,9648.13713135723,10.802054038859293
ديراب,1450.0,1400.0,-3.4482758620689653
سدرة,4325.0,7772.5,79.71098265895954
سلطانة,2211.616808287743,2420.0,9.42221052631579
شبرا,3170.845135923561,2869.4989221305013,-9.503655993129655
طويق,3075.0164063499797,3289.6670851498875,6.980472636069493
طيبة,1400.0,1725.0000000000002,23.214285714285733
عتيقة,1935.483870967742,2212.1630597530407,14.295091420573765
عرقة,7500.0,6597.570720792713,-12.032390389430498
عريض,955.5555555555557,880.3992953611273,-7.865190020347152
عكاظ,1700.3401360544217,2830.003147519218,66.43747256864376
غبيراء,2584.480196420495,2834.213431188281,9.662803186252566
قرطبة,6946.464361500732,6095.058041248732,-12.256685933217112
لبن,3531.676782583406,3100.8557055888764,-12.198768559997887
منفوحة,3301.0176495678156,3254.502061184639,-1.409128739110702
نمار,1325.2503052503052,1333.3333333333333,0.6099246346901492
