district,after,before,retention,median_price
أحد,25,84,29.761904761904763,1750.0
أم الحمام الغربي,55,59,93.22033898305084,5000.0
إشبيلية,87,187,46.524064171122994,4071.2986287465956
الازدهار,18,130,13.846153846153847,8669.439532863473
الاندلس,17,155,10.967741935483872,4690.5034221902015
البديعة,193,308,62.66233766233766,2320.0
البيان,88,575,15.304347826086955,2800.0
الجرادية,100,134,74.6268656716418,2127.6595744680853
الجزيرة,30,88,34.090909090909086,3099.1735537190084
الجنادرية,2936,7328,40.06550218340612,1650.0
الحائر,72,149,48.322147651006716,683.2156684126622
الحزم,185,331,55.89123867069487,3095.3175619112176
الحمراء,29,202,14.356435643564355,6529.546196539341
الخالدية,69,122,56.557377049180324,2672.921667030329
الخليج,35,194,18.04123711340206,4452.7857510855965
الخير,766,4628,16.5514261019879,1866.6666666666667
الدار البيضاء,221,835,26.46706586826347,2707.499074188372
الدريهمية,38,115,33.04347826086956,3275.75175943698
الرابية,15,197,7.614213197969544,775.0
الربوة,67,229,29.257641921397383,4407.977207977208
الربيع,10,114,8.771929824561402,6164.858044410595
الرفيعة,17,98,17.346938775510203,5241.746205601628
الرمال,1244,4654,26.729694886119464,3800.0
الروابى,56,117,47.863247863247864,4900.0
الروضة,149,204,73.0392156862745,5913.830050276107
الريان,70,194,36.08247422680412,6712.035533245076
الزاهر,6,99,6.0606060606060606,711.1111111111111
الزهرة,50,135,37.03703703703704,3000.0
السحاب,5,1349,0.37064492216456635,1300.0
السعادة,168,795,21.132075471698116,3538.928210313448
السلام,45,92,48.91304347826087,3900.0
السلى,55,184,29.891304347826086,2595.043466978072
السليمانية,66,315,20.952380952380953,8467.74193548387
السويدى,194,562,34.519572953736656,2651.74
الشفاء,208,327,63.608562691131496,2112.3572901473617
الشميسي,147,174,84.48275862068965,2085.9407592824364
الصالحية,81,45,180.0,2327.0766442496115
الصحافة,80,186,43.01075268817204,9728.127453417666
الصفاء,593,767,77.3142112125163,3500.0
الضباط,33,89,37.07865168539326,5283.931422003703
العارض,164,535,30.654205607476637,7175.784987388014
العريجاء,204,515,39.6116504854369,2250.0
العزيزية,239,826,28.934624697336563,2648.5568760611204
العقيق,29,212,13.679245283018867,8023.471278567016
العليا,122,232,52.58620689655172,7600.0
العود,99,162,61.111111111111114,2040.8163265306123
الغنامية,112,307,36.48208469055375,845.6449286176193
الفاروق,100,577,17.33102253032929,2700.0
الفيحاء,64,110,58.18181818181818,4722.168246445497
القادسية,83,412,20.145631067961165,4422.691355112631
القدس,28,134,20.8955223880597,6853.396236631372
القيروان,81,85,95.29411764705881,7000.0
المحمدية,7,141,4.964539007092199,9845.329096121432
المربع,62,88,70.45454545454545,4999.394883344032
المرجان,277,600,46.166666666666664,2550.0
المرقب,77,108,71.29629629629629,3195.39862597859
المروة,29,97,29.896907216494846,2279.693388331364
المروج,20,114,17.543859649122805,9238.8719101502
المصفاة,237,666,35.585585585585584,1000.1666944490748
المصيف,32,115,27.82608695652174,7786.005951968994
المعذر,35,154,22.727272727272727,9110.135025215552
المعيزلية,50,490,10.204081632653061,3500.0
المغرزات,45,72,62.5,8695.334210911218
الملز,96,237,40.50632911392405,3749.5313085864254
الملقا,131,980,13.36734693877551,9112.65605143156
الملك فهد,33,69,47.82608695652174,6319.630084935181
الملك فيصل,20,138,14.492753623188406,5226.327353086554
المناخ,42,81,51.85185185185185,1300.0
المنار,60,142,42.25352112676056,6216.83093252464
المنصورة,64,87,73.5632183908046,2777.777777777778
المهدية,182,879,20.705346985210465,4074.074074074074
المونسية,110,555,19.81981981981982,5767.130767130767
النخبة,17,229,7.423580786026202,523.1900452488687
النخيل,18,186,9.67741935483871,8809.094466316197
الندوة,96,430,22.325581395348838,2200.0
الندى,66,241,27.385892116182575,8539.094650205761
النرجس,710,2717,26.131762973868238,7092.70669150308
النزهة,32,111,28.82882882882883,8215.255854929886
النسيم,208,472,44.06779661016949,2400.0
النظيم,493,11701,4.213315101273396,1300.0
النهضة,109,428,25.46728971962617,3800.0
الوزارات,57,73,78.08219178082192,7111.111111111111
الوسام,50,1772,2.8216704288939054,1550.0
الياسمين,250,643,38.88024883359253,7427.101200686106
اليرموك,72,251,28.68525896414343,4949.2691569467
اليمامة,171,234,73.07692307692307,2266.6666666666665
ام سليم,89,75,118.66666666666667,2076.150895430945
بدر,596,1601,37.226733291692696,2041.6666666666667
ثليم,46,69,66.66666666666666,3045.9945172098687
جرير,37,225,16.444444444444446,7058.641074961752
حطين,64,545,11.743119266055047,8791.56010230179
ديراب,411,482,85.26970954356847,1450.0
سدرة,10,700,1.4285714285714286,4352.0
سلطانة,39,103,37.86407766990291,2371.3989739542226
شبرا,36,117,30.76923076923077,3050.0
طويق,380,1408,26.988636363636363,3111.1111111111118
طيبة,46,334,13.77245508982036,1400.0
عتيقة,84,99,84.84848484848484,2058.823529411765
عرقة,55,171,32.16374269005848,7340.190819493913
عريض,688,4579,15.025114653854555,944.4444444444443
عكاظ,314,896,35.044642857142854,2000.0
غبيراء,121,175,69.14285714285714,2751.438170793222
قرطبة,89,564,15.780141843971633,6846.034012722316
لبن,296,1258,23.52941176470588,3449.137931034483
منفوحة,513,754,68.0371352785146,3273.809523809524
نمار,1279,5812,22.006194081211287,1329.032258064516
